Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8.593000,8.946000,8.565000,8.944000,7.089272,22104
2019-01-03,8.857000,9.050000,8.857000,8.989000,7.124940,18206
2019-01-04,9.063000,9.121000,9.008000,9.064000,7.184389,26844
2019-01-07,9.101000,9.102000,8.950000,8.970000,7.109880,8109
2019-01-08,9.000000,9.100000,8.977000,9.050000,7.173291,16196
2019-01-09,9.079000,9.080000,8.934000,8.934000,7.081346,14501
2019-01-10,8.895000,9.092000,8.895000,9.027000,7.155061,10369
2019-01-11,9.013000,9.180000,9.013000,9.052000,7.174876,44012
2019-01-14,8.940000,9.110000,8.940000,9.080000,7.197070,18414
2019-01-15,9.091000,9.111000,8.990000,9.056000,7.178047,37012
2019-01-16,9.055000,9.105000,9.006000,9.006000,7.138415,11155
2019-01-17,8.989000,9.059000,8.988000,9.059000,7.180425,42415
2019-01-18,9.065000,9.162000,9.055000,9.162000,7.262064,63059
2019-01-21,9.096000,9.104000,9.019000,9.052000,7.174876,10422
2019-01-22,9.020000,9.081000,9.020000,9.066000,7.185973,36645
2019-01-23,9.047000,9.200000,9.010000,9.173000,7.270784,10830
2019-01-24,9.143000,9.394000,9.143000,9.377000,7.432480,65636
2019-01-25,9.400000,9.560000,9.400000,9.444000,7.485587,47102
2019-01-28,9.467000,9.484000,9.385000,9.389000,7.441992,23456
2019-01-29,9.400000,9.700000,9.400000,9.641000,7.641735,34864
2019-01-30,9.634000,9.675000,9.531000,9.569000,7.584665,50592
2019-01-31,9.681000,9.705000,9.617000,9.669000,7.663928,22994
2019-02-01,9.671000,9.725000,9.630000,9.671000,7.665513,23520
2019-02-04,9.697000,9.697000,9.531000,9.561000,7.578324,7355
2019-02-05,9.606000,9.754000,9.563000,9.731000,7.713071,18579
2019-02-06,9.640000,9.643000,9.572000,9.635000,7.636979,18808
2019-02-07,9.540000,9.600000,9.424000,9.467000,7.503817,22089
2019-02-08,9.411000,9.502000,9.411000,9.484000,7.517292,29807
2019-02-11,9.499000,9.604000,9.465000,9.536000,7.558509,11748
2019-02-12,9.582000,9.659000,9.582000,9.651000,7.649661,7217
2019-02-13,9.647000,9.679000,9.511000,9.607000,7.614786,31151
2019-02-14,9.595000,9.754000,9.595000,9.661000,7.657587,6003
2019-02-15,9.655000,9.680000,9.604000,9.659000,7.656002,8582
2019-02-18,9.673000,9.673000,9.604000,9.639000,7.640149,6808
2019-02-19,9.600000,9.711000,9.600000,9.704000,7.691670,9571
2019-02-20,9.697000,9.766000,9.642000,9.664000,7.659965,19755
2019-02-21,9.680000,9.739000,9.600000,9.668000,7.663135,23118
2019-02-22,9.697000,9.760000,9.651000,9.703000,7.690877,13579
2019-02-25,9.771000,9.771000,9.704000,9.724000,7.707523,17810
2019-02-26,9.731000,9.836000,9.716000,9.824000,7.786787,28486
2019-02-27,9.793000,9.827000,9.653000,9.732000,7.713863,19400
2019-02-28,9.652000,9.670000,9.594000,9.670000,7.664721,9462
2019-03-01,9.705000,9.757000,9.705000,9.730000,7.712278,23349
2019-03-04,9.792000,9.792000,9.621000,9.649000,7.648075,24552
2019-03-05,9.540000,9.661000,9.521000,9.621000,7.625882,16772
2019-03-06,9.649000,9.665000,9.490000,9.599000,7.608444,8437
2019-03-07,9.579000,9.720000,9.566000,9.659000,7.656002,34694
2019-03-08,9.625000,9.858000,9.625000,9.693000,7.682951,39997
2019-03-11,9.744000,9.874000,9.743000,9.831000,7.792335,19697
2019-03-12,9.874000,9.874000,9.696000,9.788000,7.758252,42945
2019-03-13,9.757000,9.822000,9.542000,9.649000,7.648075,42201
2019-03-14,9.620000,9.688000,9.497000,9.562000,7.579117,88127
2019-03-15,9.538000,9.653000,9.538000,9.550000,7.569605,17458
2019-03-18,9.589000,9.641000,9.516000,9.621000,7.625882,168808
2019-03-19,9.627000,9.728000,9.610000,9.695000,7.684536,22019
2019-03-20,9.674000,9.880000,9.661000,9.827000,7.789163,36196
2019-03-21,9.795000,9.930000,9.795000,9.900000,7.847025,19822
2019-03-22,9.886000,10.144000,9.886000,9.935000,7.874768,53036
2019-03-25,9.930000,10.080000,9.920000,9.985000,7.914398,27605
2019-03-26,9.992000,10.046000,9.918000,9.918000,7.861293,24811
2019-03-27,9.996000,9.996000,9.778000,9.976000,7.907266,6329
2019-03-28,9.982000,10.006000,9.886000,9.886000,7.835928,10005
2019-03-29,9.959000,9.967000,9.850000,9.933000,7.873183,5944
2019-04-01,9.978000,9.982000,9.791000,9.883000,7.833551,17326
2019-04-02,9.850000,9.938000,9.821000,9.911000,7.855745,13118
2019-04-03,9.961000,10.060000,9.878000,10.018000,7.940556,23300
2019-04-04,10.016000,10.100000,10.016000,10.016000,7.938972,17092
2019-04-05,10.028000,10.036000,9.951000,10.034000,7.953238,19831
2019-04-08,9.984000,10.104000,9.984000,10.076000,7.986529,10449
2019-04-09,10.026000,10.064000,9.949000,9.949000,7.885865,17348
2019-04-10,9.959000,10.096000,9.950000,10.096000,8.002380,10276
2019-04-11,10.046000,10.100000,10.000000,10.050000,7.965920,26362
2019-04-12,10.032000,10.040000,9.890000,9.927000,7.868427,29889
2019-04-15,9.943000,9.967000,9.880000,9.885000,7.835136,20635
2019-04-16,9.876000,9.912000,9.725000,9.760000,7.736057,45882
2019-04-17,9.774000,9.774000,9.600000,9.773000,7.746362,20672
2019-04-18,9.771000,9.866000,9.745000,9.866000,7.820077,43106
2019-04-23,9.878000,9.900000,9.800000,9.821000,7.784408,28213
2019-04-24,9.790000,9.790000,9.500000,9.609000,7.616370,74269
2019-04-25,9.630000,9.707000,9.606000,9.703000,7.690877,5097
2019-04-26,9.699000,9.777000,9.641000,9.672000,7.666306,15805
2019-04-29,9.646000,9.681000,9.547000,9.632000,7.634601,38461
2019-04-30,9.599000,9.606000,9.500000,9.562000,7.579117,26503
2019-05-02,9.575000,9.583000,9.395000,9.450000,7.490342,53367
2019-05-03,9.447000,9.448000,9.340000,9.379000,7.434066,19680
2019-05-06,9.320000,9.461000,9.320000,9.436000,7.479245,49119
2019-05-07,9.406000,9.539000,9.406000,9.509000,7.537107,21744
2019-05-08,9.523000,9.534000,9.392000,9.449000,7.489551,21894
2019-05-09,9.391000,9.464000,9.381000,9.464000,7.501440,37316
2019-05-10,9.464000,9.600000,9.446000,9.600000,7.609237,60291
2019-05-13,9.616000,9.616000,9.448000,9.560000,7.577532,69082
2019-05-14,9.580000,9.665000,9.576000,9.640000,7.640942,16178
2019-05-15,9.270000,9.270000,9.015000,9.130000,7.574571,99111
2019-05-16,9.064000,9.263000,9.064000,9.263000,7.684912,27532
2019-05-17,9.208000,9.305000,9.208000,9.305000,7.719758,59306
2019-05-20,9.221000,9.380000,9.221000,9.280000,7.699016,43040
