Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,7.060000,7.200000,6.839000,7.200000,6.716688,187511
2019-01-03,7.066000,7.288000,7.050000,7.140000,6.660715,76809
2019-01-04,7.168000,7.474000,7.168000,7.429000,6.930316,124876
2019-01-07,7.530000,7.610000,7.407000,7.588000,7.078643,186626
2019-01-08,7.599000,7.795000,7.594000,7.650000,7.136481,130778
2019-01-09,7.710000,7.752000,7.369000,7.431000,6.932182,125234
2019-01-10,7.369000,7.489000,7.197000,7.446000,6.946175,101383
2019-01-11,7.510000,7.529000,7.338000,7.450000,6.949906,42864
2019-01-14,7.409000,7.512000,7.320000,7.494000,6.990953,46530
2019-01-15,7.510000,7.703000,7.360000,7.474000,6.972295,73094
2019-01-16,7.569000,8.191000,7.561000,8.136000,7.589857,126323
2019-01-17,8.099000,8.099000,7.774000,7.824000,7.298801,119726
2019-01-18,7.840000,8.023000,7.830000,7.968000,7.433135,137976
2019-01-21,7.989000,8.011000,7.900000,7.998000,7.461121,93937
2019-01-22,7.954000,7.954000,7.690000,7.829000,7.303465,90419
2019-01-23,7.763000,8.035000,7.718000,7.929000,7.396753,61023
2019-01-24,7.970000,8.028000,7.650000,7.820000,7.295070,103336
2019-01-25,7.814000,8.187000,7.814000,8.126000,7.580529,181856
2019-01-28,8.210000,8.345000,8.025000,8.072000,7.530153,152646
2019-01-29,8.030000,8.188000,8.017000,8.124000,7.578663,88669
2019-01-30,8.086000,8.100000,7.976000,8.058000,7.517093,69203
2019-01-31,8.018000,8.018000,7.648000,7.759000,7.238164,245908
2019-02-01,8.000000,8.000000,7.416000,7.779000,7.256822,320604
2019-02-04,7.780000,7.859000,7.572000,7.681000,7.165401,139980
2019-02-05,7.659000,7.807000,7.600000,7.788000,7.265217,51773
2019-02-06,7.810000,7.912000,7.647000,7.899000,7.368767,61500
2019-02-07,7.882000,7.910000,7.345000,7.407000,6.909792,178910
2019-02-08,7.428000,7.428000,7.110000,7.231000,6.745607,212536
2019-02-11,7.210000,7.435000,7.210000,7.381000,6.885538,110813
2019-02-12,7.450000,7.565000,7.388000,7.525000,7.019872,40840
2019-02-13,7.580000,7.626000,7.494000,7.571000,7.062784,385343
2019-02-14,7.571000,7.634000,7.330000,7.436000,6.936846,47424
2019-02-15,7.368000,7.788000,7.282000,7.736000,7.216708,136294
2019-02-18,7.660000,7.795000,7.632000,7.770000,7.248426,51081
2019-02-19,7.752000,7.752000,7.499000,7.568000,7.059985,41936
2019-02-20,7.599000,7.689000,7.566000,7.689000,7.172863,55098
2019-02-21,7.710000,7.734000,7.579000,7.652000,7.138347,88147
2019-02-22,7.613000,7.782000,7.607000,7.630000,7.117824,40914
2019-02-25,7.688000,7.801000,7.646000,7.771000,7.249359,75666
2019-02-26,7.711000,7.872000,7.580000,7.802000,7.278278,51041
2019-02-27,7.793000,8.045000,7.745000,8.044000,7.504033,68684
2019-02-28,7.951000,8.214000,7.860000,8.135000,7.588925,143915
2019-03-01,8.202000,8.292000,8.144000,8.218000,7.666354,153377
2019-03-04,8.189000,8.268000,8.057000,8.093000,7.549745,84596
2019-03-05,8.100000,8.197000,7.982000,8.119000,7.573999,100792
2019-03-06,8.018000,8.245000,7.990000,8.125000,7.579596,43820
2019-03-07,8.126000,8.171000,7.686000,7.779000,7.256822,148166
2019-03-08,7.730000,7.774000,7.597000,7.688000,7.171931,50006
2019-03-11,7.850000,8.118000,7.685000,8.054000,7.513361,173176
2019-03-12,8.146000,8.205000,7.799000,7.906000,7.375297,60632
2019-03-13,7.818000,7.988000,7.818000,7.950000,7.416343,23498
2019-03-14,7.934000,8.017000,7.878000,7.884000,7.354773,45507
2019-03-15,7.892000,7.900000,7.760000,7.810000,7.285741,75805
2019-03-18,8.000000,8.228000,7.948000,8.175000,7.626240,480673
2019-03-19,8.128000,8.128000,7.848000,8.002000,7.464853,97342
2019-03-20,7.983000,7.997000,7.770000,7.770000,7.248426,51958
2019-03-21,7.732000,7.800000,7.415000,7.490000,6.987221,123621
2019-03-22,7.482000,7.640000,7.250000,7.340000,6.847291,109112
2019-03-25,7.210000,7.334000,7.150000,7.201000,6.717621,92849
2019-03-26,7.259000,7.360000,7.144000,7.322000,6.830499,67580
2019-03-27,7.358000,7.670000,7.300000,7.541000,7.034798,111767
2019-03-28,7.524000,7.524000,7.217000,7.266000,6.778257,95101
2019-03-29,7.300000,7.309000,7.200000,7.238000,6.752137,53075
2019-04-01,7.340000,7.554000,7.267000,7.554000,7.046925,85508
2019-04-02,7.570000,7.641000,7.496000,7.625000,7.113159,69473
2019-04-03,7.626000,7.730000,7.601000,7.630000,7.117824,20425
2019-04-04,7.630000,7.690000,7.450000,7.580000,7.071179,64551
2019-04-05,7.593000,7.612000,7.453000,7.493000,6.990020,23123
2019-04-08,7.488000,7.490000,7.325000,7.345000,6.851954,103064
2019-04-09,7.365000,7.471000,7.299000,7.304000,6.813707,46489
2019-04-10,7.325000,7.392000,7.227000,7.255000,6.767996,86360
2019-04-11,7.272000,7.543000,7.200000,7.474000,6.972295,94755
2019-04-12,7.454000,7.753000,7.390000,7.630000,7.117824,67308
2019-04-15,7.603000,7.762000,7.598000,7.653000,7.139280,48509
2019-04-16,7.648000,7.800000,7.622000,7.794000,7.270815,48993
2019-04-17,7.845000,7.928000,7.796000,7.857000,7.329586,36675
2019-04-18,7.870000,7.870000,7.650000,7.842000,7.315592,39416
2019-04-23,7.755000,7.800000,7.649000,7.671000,7.156071,32177
2019-04-24,7.658000,7.704000,7.551000,7.611000,7.100099,30560
2019-04-25,7.609000,7.933000,7.380000,7.534000,7.028268,127982
2019-04-26,7.448000,7.448000,7.184000,7.349000,6.855687,185819
2019-04-29,7.299000,7.433000,7.210000,7.406000,6.908860,172580
2019-04-30,7.398000,7.453000,7.300000,7.380000,6.884605,51123
2019-05-02,7.364000,7.558000,7.290000,7.426000,6.927517,84404
2019-05-03,7.372000,7.425000,7.271000,7.353000,6.859418,58811
2019-05-06,7.270000,7.270000,7.124000,7.209000,6.725084,84428
2019-05-07,7.200000,7.213000,7.020000,7.042000,6.569293,65013
2019-05-08,7.021000,7.078000,6.939000,7.016000,6.545039,100571
2019-05-09,7.102000,7.102000,6.802000,6.907000,6.443357,239482
2019-05-10,6.870000,7.025000,6.870000,7.025000,6.553435,120305
2019-05-13,6.998000,6.998000,6.774000,6.817000,6.359397,66302
2019-05-14,6.818000,6.904000,6.781000,6.902000,6.438692,54605
2019-05-15,6.882000,6.940000,6.712000,6.872000,6.410706,48151
2019-05-16,6.837000,6.904000,6.753000,6.869000,6.407907,61521
2019-05-17,6.880000,6.887000,6.739000,6.862000,6.401377,188149
2019-05-20,6.748000,6.779000,6.609000,6.686000,6.237191,108143
2019-05-21,6.690000,6.738000,6.587000,6.714000,6.263312,192433
2019-05-22,6.738000,6.738000,6.592000,6.620000,6.175622,64138
2019-05-23,6.570000,6.609000,6.380000,6.485000,6.049684,173049
2019-05-24,6.440000,6.500000,6.341000,6.380000,6.054429,203753
2019-05-27,6.478000,6.504000,6.390000,6.485000,6.154070,137126
2019-05-28,6.498000,6.499000,6.284000,6.321000,5.998440,123735
2019-05-29,6.280000,6.290000,6.127000,6.195000,5.878870,218468
2019-05-30,6.178000,6.282000,6.142000,6.220000,5.902593,116765
