Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,45.840000,45.840000,44.540001,45.514999,33.734318,22127
2019-01-03,44.849998,45.375000,44.840000,45.020000,33.367432,15729
2019-01-04,45.349998,47.215000,45.169998,47.099998,34.909065,16234
2019-01-07,47.650002,47.880001,46.730000,47.325001,35.075832,23389
2019-01-08,47.439999,48.349998,46.900002,47.654999,35.320415,15986
2019-01-09,48.220001,49.750000,47.985001,49.125000,36.409935,31252
2019-01-10,48.695000,49.380001,48.180000,49.345001,36.572998,34186
2019-01-11,49.549999,49.750000,48.275002,49.000000,36.317287,12834
2019-01-14,48.590000,49.455002,48.490002,49.455002,36.654522,9287
2019-01-15,49.735001,50.380001,49.275002,49.660000,36.806461,13614
2019-01-16,49.764999,49.910000,49.220001,49.880001,36.969521,14205
2019-01-17,49.595001,49.595001,48.720001,49.009998,36.324699,10243
2019-01-18,49.389999,50.990002,49.384998,50.880001,37.710690,18556
2019-01-21,50.990002,51.000000,50.570000,50.919998,37.740334,11679
2019-01-22,50.590000,50.660000,50.139999,50.340000,37.310455,12636
2019-01-23,50.830002,50.830002,49.840000,50.340000,37.310455,13669
2019-01-24,50.349998,51.189999,49.959999,50.910000,37.732922,10668
2019-01-25,51.450001,52.610001,51.450001,52.320000,38.777973,26491
2019-01-28,52.540001,52.540001,52.090000,52.250000,38.726089,10755
2019-01-29,52.230000,52.500000,51.500000,52.060001,38.585270,14077
2019-01-30,52.009998,52.099998,51.610001,51.830002,38.414799,7704
2019-01-31,52.169998,52.250000,50.980000,51.919998,38.481499,13720
2019-02-01,52.070000,53.099998,52.070000,52.820000,39.148556,12946
2019-02-04,53.240002,53.240002,51.990002,52.360001,38.807621,15771
2019-02-05,52.419998,52.970001,52.130001,52.919998,39.222668,8282
2019-02-06,53.220001,53.220001,51.060001,51.860001,38.437035,48247
2019-02-07,51.930000,51.930000,49.264999,49.535000,36.713810,52366
2019-02-08,49.380001,49.395000,47.924999,48.450001,35.909645,29137
2019-02-11,48.430000,48.599998,47.900002,48.220001,35.739178,54516
2019-02-12,48.590000,49.595001,48.590000,49.494999,36.684170,9766
2019-02-13,49.625000,50.349998,49.200001,50.279999,37.265980,14313
2019-02-14,50.400002,50.660000,49.330002,49.810001,36.917637,9711
2019-02-15,49.200001,50.680000,48.465000,50.549999,37.466099,15291
2019-02-18,50.299999,50.650002,49.680000,50.259998,37.251160,15542
2019-02-19,50.000000,50.520000,49.759998,50.419998,37.369751,11188
2019-02-20,50.529999,52.040001,50.529999,51.669998,38.296207,16472
2019-02-21,51.869999,52.230000,51.779999,51.970001,38.518566,14087
2019-02-22,51.900002,52.500000,51.900002,52.320000,38.777973,8631
2019-02-25,52.689999,53.700001,52.480000,53.400002,39.578434,38925
2019-02-26,53.160000,53.299999,52.439999,53.160000,39.400551,6511
2019-02-27,53.110001,53.119999,52.500000,52.939999,39.237488,8898
2019-02-28,52.889999,52.919998,52.279999,52.919998,39.222668,9334
2019-03-01,53.169998,53.750000,53.160000,53.439999,39.608078,7751
2019-03-04,53.759998,53.820000,53.279999,53.340000,39.533962,6661
2019-03-05,53.389999,53.450001,52.740002,52.740002,39.089264,10997
2019-03-06,52.790001,52.790001,51.950001,52.259998,38.733498,11848
2019-03-07,51.650002,51.650002,49.959999,50.730000,37.599510,18963
2019-03-08,50.099998,50.290001,49.290001,50.290001,37.273399,14291
2019-03-11,50.599998,51.090000,50.250000,50.990002,37.792217,19273
2019-03-12,51.230000,51.320000,50.470001,50.549999,37.466099,15331
2019-03-13,50.630001,51.040001,50.549999,50.919998,37.740334,5633
2019-03-14,51.040001,51.400002,50.730000,51.130001,37.895981,15630
2019-03-15,50.939999,52.119999,50.939999,51.610001,38.251743,17723
2019-03-18,51.810001,51.889999,51.049999,51.430000,38.118332,85783
2019-03-19,51.189999,53.150002,51.150002,52.639999,39.015148,23212
2019-03-20,52.540001,53.130001,51.590000,52.080002,38.600094,9695
2019-03-21,51.689999,51.840000,51.150002,51.689999,38.311035,10830
2019-03-22,51.680000,52.000000,50.459999,50.900002,37.725513,25930
2019-03-25,50.400002,51.009998,50.270000,50.810001,37.658806,16123
2019-03-26,50.980000,51.090000,50.299999,50.599998,37.503159,7152
2019-03-27,50.740002,51.610001,50.520000,51.410000,38.103508,7178
